title,authors,subject,publish_year,description,rating
Are You My Mother?,P. D. Eastman,baby books,1960,"A baby bird, fallen from his nest, sets out to find his mother. Spanish and English. Full-color illustrations.",4.28
Owl Babies,Martin Waddell,baby books,1975,Three owl babies whose mother has gone out in the night try to stay calm while she is gone.,4.0
"Does a Kangaroo Have a Mother, Too?",Eric Carle,baby books,1999,"Presents the names of animal babies, parents, and groups; for example, a baby kangaroo is a joey, its mother is a flyer, its father is a boomer, and a group of kangaroos is a troop, mob, or herd.",4.0
Bug babies,"Charlotte Guillain, Rebecca Rissman",baby books,2010,"Descibes in text and photographs how insects and inverterbrates reproduce and take care of their young. Includes notes to parents and teachers. Suggested level: junior, primary.",
Portable Pets,Lorella Rizzati,baby books,1998,,
Alligator Baby,Robert N. Munsch,baby books,1997,A little girl takes matters into her own hands after her brother is accidentally born in a zoo and her parents repeatedly bring home the wrong baby.,5.0
Bird homes,Arthur Radclyffe Dugmore,baby books,1900,,
Progress in Infancy Research,"Carolyn Rovee-Collier, Lewis P. Lipsitt, Harlene Hayne",baby books,2000,,
The reason for a flower,Ruth Heller,baby books,1983,Brief text and lavish illustrations explain plant reproduction and the purpose of a flower and present some plants which don't seem to be flowers but are.,5.0
Happy Baby,Roger Priddy,baby books,2001,,3.0
Kitten's first full moon,Kevin Henkes,baby books,2004,,3.9
The Little Wood Duck,Brian Wildsmith,baby books,1972,"The animals by the lake make fun of little Wood Duck for swimming in circles, but his uniqueness proves to be useful.",
Annie and the Wild Animals,Jan Brett,baby books,1985,"When Annie's cat disappears, she attempts friendship with a variety of unsuitable woodland animals, but with the emergence of Spring, everything comes right.",4.0
Growing Frogs,Vivian French,baby books,2000,A mother and child watch as tadpoles develop and grow into frogs.,5.0
Johnny Lion's Book,Edith Thacher Hurd,baby books,1965,"When his parents go out hunting, Johnny Lion stays home and experiences exciting adventures reading a book about a baby lion who goes out into the world and gets lost.",5.0
I Wonder Why Kangaroos Have Pouches,Jenny Wood,baby books,1996,Answers a variety of questions about baby animals and their parents.,
Mittens (My First I Can Read),"Lola M. Schaefer, Susan Kathleen Hartung, Isabel Keating",baby books,2006,Nick helps Dickens the kitten adjust to life in a new home.,4.5
チーズスイートホーム [Chīzu suīto hōmu/Chi's Sweet Home] (1),こなみかなた [Konami Kanata],baby books,2009,"***German-language description***

Chi erobert die Herzen im Sturm – neugierig, mutig, frech und süß. Diese Katze muss man einfach gernhaben. Nicht nur für Katzenliebhaber*innen ein Genuss! 
Wer Katzen kennt, wird einen Riesenspaß haben, sich selbst und das Haustier in allen erdenklichen Situationen wiederzuerkennen. Und wer noch keine Katze hat, wird sich vielleicht schnell überlegen, ein kleines Kätzchen anzuschaffen.

Weitere Informationen:  

- Für Manga-Neulinge jeden Alters 
- Komplett in Farbe und westlicher Leserichtung 
- Abgeschlossen in 12 Bänden  
- Auch bekannt aus dem Anime “Süße Katze Chi” auf Amazon Prime 
- Noch nicht genug von Katze Chi? Lies weiter in „Süße Katze Chi: Chi’s Sweet Adventures“!

*CARLSEN Verlag GmbH, Hamburg*",4.33
"Pencil, paper, draw!",Steve Harpster,baby books,2006,,
Daisy and the Egg,Jane Simmons,baby books,1998,"Daisy the duckling eagerly awaits the arrival of a new brother or sister, even helping Mama Duck sit on the egg while they wait for it to hatch.",
Over in the meadow,"John M. Langstaff, Feodor Rojankovsky",baby books,1957,A presentation of an old counting rhyme about meadow animals and their activities. A page of music is included.,3.0
Spot goes to the farm,Eric Hill,baby books,1984,"Spot searches for new babies among the farm animals, each of which greets him with its own distinctive noise. Movable flaps conceal portions of the illustrations.",5.0
Never Race a Runaway Pumpkin,Katherine Applegate,baby books,2009,"Pumpkin ContestIf Roscoe guesses the weight of a giant pumpkin, he'll be a winner! Easy, right? But a little black cat keeps trying to cross his path! Will the bad-luck kitty ruin Roscoe's chance to win?",
Cowgirl Kate and Cocoa,Erica Silverman,baby books,2005,"Cowgirl Kate and her cowhorse Cocoa, who is always hungry, count cows, share a story, and help each other fall asleep.",5.0
"Click, Clack, Peep",Doreen Cronin,baby books,1800,"All the barnyard animals are excited about the arrival of a new duckling, until the noisy little one refuses to go to sleep.",
